epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,254.332,0.80694,0.41886,0.82923,0.72088,0.65787,0.66113,0.45645,0.7185,0.3588,0.78424,0.0001981,0.0001981,0.0001981
83,257.636,0.79269,0.3976,0.83536,0.70805,0.66336,0.65379,0.45117,0.73022,0.36043,0.7865,0.0001882,0.0001882,0.0001882
84,260.94,0.82302,0.42077,0.8317,0.72669,0.65787,0.65138,0.44776,0.77647,0.36821,0.79267,0.0001783,0.0001783,0.0001783
85,264.157,0.84972,0.42443,0.83278,0.75877,0.65512,0.65438,0.4482,0.79347,0.37205,0.79413,0.0001684,0.0001684,0.0001684
86,267.408,0.79538,0.41124,0.82625,0.73968,0.64413,0.64694,0.46077,0.70134,0.35612,0.78053,0.0001585,0.0001585,0.0001585
87,270.693,0.83979,0.42218,0.82856,0.71218,0.66062,0.64806,0.45884,0.68171,0.34895,0.77803,0.0001486,0.0001486,0.0001486
88,273.951,0.85543,0.42115,0.83955,0.69304,0.65512,0.63617,0.44154,0.77332,0.36178,0.78956,0.0001387,0.0001387,0.0001387
89,277.196,0.81784,0.40414,0.8323,0.74484,0.6734,0.66197,0.43933,0.78982,0.36488,0.79215,0.0001288,0.0001288,0.0001288
90,280.478,0.80352,0.41096,0.83091,0.75275,0.66611,0.66066,0.45728,0.70369,0.34918,0.78102,0.0001189,0.0001189,0.0001189
91,300.2,0.79931,0.40324,0.84088,0.73024,0.68466,0.66028,0.45547,0.70186,0.35274,0.78166,0.000109,0.000109,0.000109
92,303.936,0.76696,0.38917,0.82929,0.72306,0.67985,0.66418,0.4378,0.80662,0.37206,0.79822,9.91e-05,9.91e-05,9.91e-05
93,307.145,0.75422,0.38777,0.8401,0.72604,0.70183,0.66669,0.43644,0.84145,0.37759,0.80236,8.92e-05,8.92e-05,8.92e-05
94,310.742,0.77819,0.39074,0.83415,0.72346,0.68809,0.66353,0.45404,0.74082,0.35836,0.78659,7.93e-05,7.93e-05,7.93e-05
95,313.963,0.78993,0.39078,0.83582,0.71674,0.67456,0.65517,0.46278,0.683,0.35018,0.77832,6.94e-05,6.94e-05,6.94e-05
96,317.516,0.77827,0.38368,0.83756,0.71154,0.67786,0.65294,0.46338,0.682,0.34959,0.77878,5.95e-05,5.95e-05,5.95e-05
97,321.278,0.73517,0.37858,0.83064,0.71973,0.66611,0.65214,0.45714,0.72117,0.35816,0.7842,4.96e-05,4.96e-05,4.96e-05
98,324.96,0.69731,0.36169,0.82364,0.73116,0.68738,0.67066,0.44673,0.81013,0.37876,0.79686,3.97e-05,3.97e-05,3.97e-05
99,328.567,0.748,0.37196,0.83336,0.72592,0.66886,0.66436,0.44746,0.81156,0.38013,0.79695,2.98e-05,2.98e-05,2.98e-05
100,332.016,0.75403,0.37546,0.83896,0.72696,0.67161,0.66406,0.45233,0.77413,0.37217,0.79171,1.99e-05,1.99e-05,1.99e-05
